address,validation_weight,confirmation_weight,correct_reward_ngonka,correct_reward_gonka,actual_rewards_ngonka,actual_rewards_gonka,compensation_ngonka,compensation_gonka
gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,110975,123190,43969373230910,43969.3732,35810465018512,35810.4650,8158908212398,8158.9082
gonka1gvrrhjmy4w4mayvs2s5l23edj8ertcmtd2v4zr,80137,87350,31177244514327,31177.2445,26859544149247,26859.5441,4317700365080,4317.7004
gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu,55075,61134,21820145004452,21820.1450,17771207834784,17771.2078,4048937169668,4048.9372
gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,49884,55568,19833510282451,19833.5103,17804758618806,17804.7586,2028751663645,2028.7517
gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,51240,37972,13553089052067,13553.0891,11662466680087,11662.4667,1890622371980,1890.6224
gonka1007g0ut3u4wjkay9hegqfev4pj90qgexwskmcw,20159,24478,8736766928697,8736.7669,7115264675365,7115.2647,1621502253332,1621.5023
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,16135,15292,5458070098604,5458.0701,3977195599578,3977.1956,1480874499026,1480.8745
gonka1007dchuqgdnute4qam70kmn56j2vfw38mhyrqv,20601,17093,6100888843542,6100.8888,4968728344407,4968.7283,1132160499135,1132.1605
gonka1wvv656pt2d8x2khcvytqeessck5uzjnxzsa8f6,13431,15772,5629393251058,5629.3933,4585035867556,4585.0359,1044357383502,1044.3574
gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,24532,14043,5012272978989,5012.2730,4081774107222,4081.7741,930498871767,930.4989
gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2,5962,7320,2612678074927,2612.6781,2127976322775,2127.9763,484701752152,484.7018
gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0,6256,6256,2232911753653,2232.9118,1818166955420,1818.1670,414744798233,414.7448
gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,6641,7686,2743311978673,2743.3120,2370327198851,2370.3272,372984779822,372.9848
gonka1tlvg4kjx7ljd5thgd5fkgh39q6lu8cmxupktgg,3128,3768,1344886746765,1344.8867,1095397406004,1095.3974,249489340761,249.4893
gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5,4887,5338,1905256224584,1905.2562,1740714613581,1740.7146,164541611003,164.5416
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,16825,15875,5666156344189,5666.1563,5584777846773,5584.7778,81378497416,81.3785
gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le,12017,4171,1488726810180,1488.7268,1488726810180,1488.7268,0,0.0000
