address,validation_weight,confirmation_weight,correct_reward_ngonka,correct_reward_gonka,actual_rewards_ngonka,actual_rewards_gonka,compensation_ngonka,compensation_gonka
gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu,98765,155410,58142267574598,58142.2676,36183937282108,36183.9373,21958330292490,21958.3303
gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,86671,135798,50804991005052,50804.9910,31635364544369,31635.3645,19169626460683,19169.6265
gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,38100,53712,20094829650388,20094.8297,14214009214090,14214.0092,5880820436298,5880.8204
gonka1gvrrhjmy4w4mayvs2s5l23edj8ertcmtd2v4zr,32219,47720,17853091877355,17853.0919,12053829991544,12053.8300,5799261885811,5799.2619
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,28621,29845,11165664859171,11165.6649,6948564028460,6948.5640,4217100830711,4217.1008
gonka1007g0ut3u4wjkay9hegqfev4pj90qgexwskmcw,15622,24350,9109865616379,9109.8656,5669067502463,5669.0675,3440798113916,3440.7981
gonka1007dchuqgdnute4qam70kmn56j2vfw38mhyrqv,16001,23831,8915696406732,8915.6964,5548226163897,5548.2262,3367470242835,3367.4702
gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2,14162,22757,8513889602954,8513.8896,5298312807357,5298.3128,3215576795597,3215.5768
gonka14ljarev2nlzu4ej50vx7ylj2rvg4n20fnq2ysc,10236,16447,6153181100311,6153.1811,3829510655000,3829.5107,2323670445311,2323.6704
gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d,9405,15108,5652232021858,5652.2320,3517118959325,3517.1190,2135113062533,2135.1131
gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,9585,14997,5610704503032,5610.7045,3491304555731,3491.3046,2119399947301,2119.3999
gonka1l8jd2nz92mnem0xwgwkltcw2952cnlphs5arsa,9249,14861,5559823939425,5559.8239,3460252447059,3460.2524,2099571492366,2099.5715
gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,9249,14861,5559823939425,5559.8239,3460252447059,3460.2524,2099571492366,2099.5715
gonka1wkgawwdzj623ss8eywayzdj6qcgr2llygactje,9204,14789,5532887170457,5532.8872,3443416966453,3443.4170,2089470204004,2089.4702
gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,10624,15142,5664952162760,5664.9522,3974669909996,3974.6699,1690282252764,1690.2823
gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,21183,14737,5513432837313,5513.4328,3944740166698,3944.7402,1568692670615,1568.6927
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,13111,16448,6153555222102,6153.5552,4664550493019,4664.5505,1489004729083,1489.0047
gonka1ce02jjduga8jvwj8jx39mxn0jr345vgkx7lk2n,4579,7357,2752414018057,2752.4140,1713103682028,1713.1037,1039310336029,1039.3103
gonka1tlvg4kjx7ljd5thgd5fkgh39q6lu8cmxupktgg,2378,3822,1429893486069,1429.8935,889661619537,889.6616,540231866532,540.2319
gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le,10091,4261,1594132952418,1594.1330,1594132952418,1594.1330,0,0.0000
