address,validation_weight,confirmation_weight,correct_reward_ngonka,correct_reward_gonka,actual_rewards_ngonka,actual_rewards_gonka,compensation_ngonka,compensation_gonka
gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu,113540,147474,52380494236823,52380.4942,34148868532115,34148.8685,18231625704708,18231.6257
gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,90245,123885,44002044621620,44002.0446,28717385573292,28717.3856,15284659048328,15284.6590
gonka1gvrrhjmy4w4mayvs2s5l23edj8ertcmtd2v4zr,44453,47698,16941595224297,16941.5952,11860324284660,11860.3243,5081270939637,5081.2709
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,35561,30947,10991897928766,10991.8979,7564721688269,7564.7217,3427176240497,3427.1762
gonka1scskt6wpnjnumsah6kjphmdu87vjgvcxmn4rxv,22179,17521,6223189440331,6223.1894,4412103146383,4412.1031,1811086293948,1811.0863
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,13720,14561,5171843013564,5171.8430,3371412257726,3371.4123,1800430755838,1800.4308
gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw,9551,14448,5131707153353,5131.7072,3345483781660,3345.4838,1786223371693,1786.2234
gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,10801,14988,5323506839317,5323.5068,3732634999625,3732.6350,1590871839692,1590.8718
gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,13247,13362,4745976673803,4745.9767,4072901849910,4072.9018,673074823893,673.0748
gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5,4317,5270,1871822861169,1871.8229,1520190103568,1520.1901,351632757601,351.6328
gonka1tlvg4kjx7ljd5thgd5fkgh39q6lu8cmxupktgg,2399,1966,698292930751,698.2929,454991477259,454.9915,243301453492,243.3015
