address,validation_weight,confirmation_weight,correct_reward_ngonka,correct_reward_gonka,actual_rewards_ngonka,actual_rewards_gonka,compensation_ngonka,compensation_gonka
gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,91051,136744,54177242182220,54177.2422,36073919718111,36073.9197,18103322464109,18103.3225
gonka1gvrrhjmy4w4mayvs2s5l23edj8ertcmtd2v4zr,65292,89717,35545396045619,35545.3960,25226110008367,25226.1100,10319286037252,10319.2860
gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu,50820,76323,30238764809231,30238.7648,20134612470751,20134.6125,10104152338480,10104.1523
gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,57259,74633,29569195838834,29569.1958,22538325455010,22538.3255,7030870383824,7030.8704
gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,42438,59384,23527623513638,23527.6235,16812520271474,16812.5203,6715103242164,6715.1032
gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz,25546,28280,11204384901079,11204.3849,6675087581802,6675.0876,4529297319277,4529.2973
gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,19891,29873,11835522989743,11835.5230,7880707923174,7880.7079,3954815066569,3954.8151
gonka1007dchuqgdnute4qam70kmn56j2vfw38mhyrqv,16591,24841,9841871475520,9841.8715,6552663432777,6552.6634,3289208042743,3289.2080
gonka1007g0ut3u4wjkay9hegqfev4pj90qgexwskmcw,16658,24474,9696468036386,9696.4680,6455991936460,6455.9919,3240476099926,3240.4761
gonka1wvv656pt2d8x2khcvytqeessck5uzjnxzsa8f6,9686,15808,6263045138481,6263.0451,3730965085341,3730.9651,2532080053140,2532.0801
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,13727,16934,6709160322308,6709.1603,5432621137326,5432.6211,1276539184982,1276.5392
gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,11365,14401,5705599256026,5705.5993,4502752277254,4502.7523,1202846978772,1202.8470
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,9004,7389,2927482320865,2927.4823,1744048880288,1744.0489,1183433440577,1183.4334
gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw,4972,7427,2942537717832,2942.5377,1959182579060,1959.1826,983355138772,983.3551
gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2,4925,7397,2930651878121,2930.6519,1951258685919,1951.2587,979393192202,979.3932
gonka1tlvg4kjx7ljd5thgd5fkgh39q6lu8cmxupktgg,2457,3768,1492861467725,1492.8615,941754699783,941.7547,551106767942,551.1068
gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e,7764,9024,3575260585125,3575.2606,3076055317255,3076.0553,499205267870,499.2053
gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5,4352,5281,2092303983826,2092.3040,1716711448952,1716.7114,375592534874,375.5925
gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le,11235,4202,1664809948880,1664.8099,1664809948880,1664.8099,0,0.0000
