address,validation_weight,confirmation_weight,correct_reward_ngonka,correct_reward_gonka,actual_rewards_ngonka,actual_rewards_gonka,compensation_ngonka,compensation_gonka
gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,116954,132086,45567831391337,45567.8314,38068178993534,38068.1790,7499652397803,7499.6524
gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu,56585,60388,20833019412050,20833.0194,17403857774709,17403.8578,3429161637341,3429.1616
gonka1gvrrhjmy4w4mayvs2s5l23edj8ertcmtd2v4zr,82396,45592,15728605369182,15728.6054,13889484575554,13889.4846,1839120793628,1839.1208
gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,41491,35793,12348086769151,12348.0868,11111656657659,11111.6567,1236430111492,1236.4301
gonka14ljarev2nlzu4ej50vx7ylj2rvg4n20fnq2ysc,13836,15845,5466304441013,5466.3044,4566580743811,4566.5807,899723697202,899.7237
gonka1wkgawwdzj623ss8eywayzdj6qcgr2llygactje,12625,14525,5010922815129,5010.9228,4186061097334,4186.0611,824861717795,824.8617
gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,12352,11396,3931461370135,3931.4614,3284267483651,3284.2675,647193886484,647.1939
gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,7168,7571,2611889613311,2611.8896,2311406737443,2311.4067,300482875868,300.4829
gonka1tlvg4kjx7ljd5thgd5fkgh39q6lu8cmxupktgg,2603,3116,1074976625951,1074.9766,897998766800,897.9988,176977859151,176.9779
gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5,5097,5332,1839465779708,1839.4658,1704921208424,1704.9212,134544571284,134.5446
gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le,11952,4202,1449631509065,1449.6315,1449631509065,1449.6315,0,0.0000
