address,total_gonka,e265,e266,e267,e268,e269,e270,e271,e272,e273,e274,e275,e276
gonka1l8jd2nz92mnem0xwgwkltcw2952cnlphs5arsa,4167.200641,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2099.571492,0.000000,2067.629148,0.000000
gonka1007n977a7uda3pd9m6hftw8xcql0tc20m96myu,3396.492512,0.000000,0.000000,0.000000,2345.402467,1051.090045,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5,3018.840187,0.000000,0.000000,1210.857591,0.000000,363.758363,375.592535,164.541611,134.544571,0.000000,0.000000,417.912759,351.632758
gonka1tl5m3vuqsx333v7095ymwjdc4vdk2wd9r5hqws,2731.396085,0.000000,0.000000,2731.396085,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gonka14g78ez2zy08k8sssue483zmfpgd4qut8zcwlqc,2602.055674,0.000000,0.000000,2602.055674,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,2392.222959,0.000000,0.000000,1718.755304,0.000000,0.000000,0.000000,372.984780,300.482876,0.000000,0.000000,0.000000,0.000000
gonka1tlvg4kjx7ljd5thgd5fkgh39q6lu8cmxupktgg,2293.694675,0.000000,176.245568,0.000000,0.000000,0.000000,551.106768,249.489341,176.977859,540.231867,0.000000,356.341819,243.301453
gonka15p7s7w2hx0y8095lddd4ummm2y0kwpwljk00aq,2034.501081,0.000000,0.000000,1476.899250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,557.601831,0.000000
gonka1tja3g2da45efhe2p83gk3whtussmgmtsdlgprt,1805.142498,0.000000,1805.142498,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gonka1ce02jjduga8jvwj8jx39mxn0jr345vgkx7lk2n,1753.409171,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1039.310336,714.098835,0.000000,0.000000
gonka1hwvel7n3zuk6wruefuzc356l9myske9stckwnz,1575.513417,0.000000,1575.513417,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gonka12pcu9mcrpa4w4sjd9y3dsksnvu495ss6f9r4ra,1166.439756,0.000000,1166.439756,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le,1025.259358,0.000000,0.000000,1025.259358,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gonka10070xwkwv00sulsa7gdfwkgh8w069stkjjf39x,1017.602508,0.000000,0.000000,0.000000,0.000000,1017.602508,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gonka10075dz43h94zhqu5hwdj3nyjay6v8mzwvpxr0s,1017.602508,0.000000,0.000000,0.000000,0.000000,1017.602508,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gonka1007lnkyhdh7aq0vjdcdwcerkdh4yy85rymjdg6,1007.974842,0.000000,0.000000,0.000000,0.000000,1007.974842,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gonka13a4v8gxxjav5t4xq5y9cv9d8rfnvkjfw5adqz3,521.637815,0.000000,521.637815,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gonka1myu058axjs62mc3e7na9krwvqpfl9z3gtcw9es,279.015575,0.000000,279.015575,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gonka14ef2pxjge75gflqftn7m2wy0xv59gq9uc7qnct,276.414091,0.000000,276.414091,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,113.864834,0.000000,113.864834,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gonka1cuwejs77gectp3n32wg8q27hlsa4m3hqspf4ww,108.366532,0.000000,108.366532,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gonka1tmk2tzdneht6smu34pkmqdvu7p34qavvmwtwq2,100.568940,0.000000,100.568940,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,30.990429,0.000000,30.990429,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gonka17gpuntq09zsaqtmpe544gc32tk4424dwv5t34f,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
