address,validation_weight,confirmation_weight,correct_reward_ngonka,correct_reward_gonka,actual_rewards_ngonka,actual_rewards_gonka,compensation_ngonka,compensation_gonka
gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu,117289,151947,56220298300376,56220.2983,41677842020240,41677.8420,14542456280136,14542.4563
gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,103436,134033,49592129111429,49592.1291,36799029977957,36799.0300,12793099133472,12793.0991
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,54200,66515,24610509858368,24610.5099,19229978634428,19229.9786,5380531223940,5380.5312
gonka1gvrrhjmy4w4mayvs2s5l23edj8ertcmtd2v4zr,37893,46972,17379611652518,17379.6117,13788767509461,13788.7675,3590844143057,3590.8441
gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,31942,37040,13704777646455,13704.7776,11329751520305,11329.7515,2375026126150,2375.0261
gonka14ljarev2nlzu4ej50vx7ylj2rvg4n20fnq2ysc,11578,12757,4720082301183,4720.0823,3499084292724,3499.0843,1220998008459,1220.9980
gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0,10054,12550,4643492426107,4643.4924,3442104385663,3442.1044,1201388040444,1201.3880
gonka1ce02jjduga8jvwj8jx39mxn0jr345vgkx7lk2n,5642,7463,2761305496098,2761.3055,2047206660848,2047.2067,714098835250,714.0988
gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le,10751,4150,1535497495485,1535.4975,1535497495485,1535.4975,0,0.0000
