address,validation_weight,confirmation_weight,correct_reward_ngonka,correct_reward_gonka,actual_rewards_ngonka,actual_rewards_gonka,compensation_ngonka,compensation_gonka
gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,44699,65960,26862779430371,26862.7794,17327225798129,17327.2258,9535553632242,9535.5536
gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,55185,74151,30198634892987,30198.6349,22474567660173,22474.5677,7724067232814,7724.0672
gonka1jrgm47v5eg876udmzg6j6glqcsd5x0vk6crpax,29380,42000,17104862584529,17104.8626,11033043625654,11033.0436,6071818958875,6071.8190
gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz,61670,45695,18609683233335,18609.6832,12723981469725,12723.9815,5885701763610,5885.7018
gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,22500,21917,8925887458693,8925.8875,5757415294226,5757.4153,3168472164467,3168.4722
gonka1007dchuqgdnute4qam70kmn56j2vfw38mhyrqv,10766,16492,6716509374858,6716.5094,4332010078848,4332.0101,2384499296010,2384.4993
gonka1007n977a7uda3pd9m6hftw8xcql0tc20m96myu,11026,16221,6606142285325,6606.1423,4260739818079,4260.7398,2345402467246,2345.4025
gonka1007g0ut3u4wjkay9hegqfev4pj90qgexwskmcw,10718,16179,6589037422740,6589.0374,4249743834989,4249.7438,2339293587751,2339.2936
gonka1c6fwzedfsmpu4jnjekv4cn7mvr7x7fuqd6uqt9,9699,14919,6075891545204,6075.8915,3919049825022,3919.0498,2156841720182,2156.8417
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,13665,11565,4709946090240,4709.9461,3686912404232,3686.9124,1023033686008,1023.0337
gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le,11197,4231,1723111276074,1723.1113,1723111276074,1723.1113,0,0.0000
