address,validation_weight,confirmation_weight,correct_reward_ngonka,correct_reward_gonka,actual_rewards_ngonka,actual_rewards_gonka,compensation_ngonka,compensation_gonka
gonka1gvrrhjmy4w4mayvs2s5l23edj8ertcmtd2v4zr,68188,86508,36211747341213,36211.7473,26469385853034,26469.3859,9742361488179,9742.3615
gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,45842,48770,20414839296145,20414.8393,14014952521514,14014.9525,6399886774631,6399.8868
gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,61039,69230,28979276696168,28979.2767,22617063399837,22617.0634,6362213296331,6362.2133
gonka1jrgm47v5eg876udmzg6j6glqcsd5x0vk6crpax,30955,38383,16066901306211,16066.9013,11029957257605,11029.9573,5036944048606,5036.9440
gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz,34019,43011,18004155279198,18004.1553,13153485651072,13153.4857,4850669628126,4850.6696
gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,15496,21843,9143353183221,9143.3532,6276820078853,6276.8201,2866533104368,2866.5331
gonka1wvv656pt2d8x2khcvytqeessck5uzjnxzsa8f6,10124,14747,6173008716429,6173.0087,4237847714459,4237.8477,1935161001970,1935.1610
gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,12208,15468,6474815137026,6474.8151,5110198034188,5110.1980,1364617102838,1364.6171
gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,23602,14366,6013524324962,6013.5243,4751462801938,4751.4628,1262061523024,1262.0615
gonka1007dchuqgdnute4qam70kmn56j2vfw38mhyrqv,5699,8301,3474750481798,3474.7505,2385568364747,2385.5684,1089182117051,1089.1821
gonka1007n977a7uda3pd9m6hftw8xcql0tc20m96myu,5499,8010,3352939568630,3352.9396,2301849524082,2301.8495,1051090044548,1051.0900
gonka1007g0ut3u4wjkay9hegqfev4pj90qgexwskmcw,5473,7973,3337451583107,3337.4516,2290966074796,2290.9661,1046485508311,1046.4855
gonka10070xwkwv00sulsa7gdfwkgh8w069stkjjf39x,5324,7755,3246198046783,3246.1980,2228595538500,2228.5955,1017602508283,1017.6025
gonka10075dz43h94zhqu5hwdj3nyjay6v8mzwvpxr0s,5324,7755,3246198046783,3246.1980,2228595538500,2228.5955,1017602508283,1017.6025
gonka1007lnkyhdh7aq0vjdcdwcerkdh4yy85rymjdg6,5275,7683,3216059264143,3216.0593,2208084422537,2208.0844,1007974841606,1007.9748
gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2,5174,7317,3062853785726,3062.8538,2102180089096,2102.1801,960673696630,960.6737
gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5,4464,5181,2168736567425,2168.7366,1804978204736,1804.9782,363758362689,363.7584
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,8322,8630,3612467974692,3612.4680,3482703771661,3482.7038,129764203031,129.7642
gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le,11439,4124,1726282494511,1726.2825,1726282494511,1726.2825,0,0.0000
