address,validation_weight,confirmation_weight,correct_reward_ngonka,correct_reward_gonka,actual_rewards_ngonka,actual_rewards_gonka,compensation_ngonka,compensation_gonka
gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,63749,162116,85236382629447,85236.3826,31872947465887,31872.9475,53363435163560,53363.4352
gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz,36092,102643,53967023749872,53967.0237,16769036909272,16769.0369,37197986840600,37197.9868
gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,27560,83033,43656595023754,43656.5950,13590732898594,13590.7329,30065862125160,30065.8621
gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,18059,64738,34037559146939,34037.5591,9494953205761,9494.9532,24542605941178,24542.6059
gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,24721,57624,30297202698310,30297.2027,11328327247983,11328.3272,18968875450327,18968.8755
gonka1jrgm47v5eg876udmzg6j6glqcsd5x0vk6crpax,12286,37187,19551958849473,19551.9588,5453854012036,5453.8540,14098104837437,14098.1048
gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw,9671,28833,15159642603782,15159.6426,4228800522395,4228.8005,10930842081387,10930.8421
gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,9647,19294,10144284132673,10144.2841,2829715828861,2829.7158,7314568303812,7314.5683
gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,4050,14520,7634238913984,7634.2389,2129384821049,2129.3848,5504854092935,5504.8541
gonka1wkgawwdzj623ss8eywayzdj6qcgr2llygactje,3958,14190,7460733484121,7460.7335,2081013610299,2081.0136,5379719873822,5379.7199
gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np,5866,14024,7373454995160,7373.4550,2056828004924,2056.8280,5316626990236,5316.6270
gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,5403,15231,8008064249235,8008.0642,2835499343190,2835.4993,5172564906045,5172.5649
gonka1c6fwzedfsmpu4jnjekv4cn7mvr7x7fuqd6uqt9,3743,13418,7054835933047,7054.8359,1967972193873,1967.9722,5086863739174,5086.8637
gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0,2153,7720,4058975510741,4058.9755,1131991486350,1131.9915,2926984024391,2926.9840
gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2,2061,7389,3884944306848,3884.9443,1083620275600,1083.6203,2801324031248,2801.3240
gonka1tl5m3vuqsx333v7095ymwjdc4vdk2wd9r5hqws,2010,7205,3788201885348,3788.2019,1056805800076,1056.8058,2731396085272,2731.3961
gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,2031,7198,3784521467139,3784.5215,1055754252016,1055.7543,2728767215123,2728.7672
gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d,1958,7020,3690933689819,3690.9337,1029465550522,1029.4656,2661468139297,2661.4681
gonka14g78ez2zy08k8sssue483zmfpgd4qut8zcwlqc,1958,6863,3608387167126,3608.3872,1006331493207,1006.3315,2602055673919,2602.0557
gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,15605,13242,6962299703787,6962.2997,5243544400080,5243.5444,1718755303707,1718.7553
gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e,5330,8445,4440161682410,4440.1617,2795014742888,2795.0147,1645146939522,1645.1469
gonka15p7s7w2hx0y8095lddd4ummm2y0kwpwljk00aq,1087,3896,2048415620446,2048.4156,571516370489,571.5164,1476899249957,1476.8992
gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5,3083,5373,2824983862592,2824.9839,1614126271758,1614.1263,1210857590834,1210.8576
gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le,2157,4107,2159353940753,2159.3539,1134094582470,1134.0946,1025259358283,1025.2594
gonka17gpuntq09zsaqtmpe544gc32tk4424dwv5t34f,43633,32720,17203326257960,17203.3263,17203326257960,17203.3263,0,0.0000
